391301 	 MISS 	 HIT 	 MISS
391302 	 MISS 	 HIT 	 MISS
391303 	 MISS 	 HIT 	 HIT
391304 	 MISS 	 HIT 	 MISS
391305 	 MISS 	 HIT 	 MISS
391306 	 HIT 	 MISS 	 MISS
391307 	 MISS 	 HIT 	 HIT
391308 	 MISS 	 HIT 	 MISS
391309 	 MISS 	 HIT 	 MISS
391310 	 HIT 	 HIT 	 MISS
391311 	 MISS 	 HIT 	 MISS
391312 	 MISS 	 HIT 	 MISS
391313 	 MISS 	 HIT 	 HIT
391314 	 MISS 	 HIT 	 HIT
391315 	 MISS 	 HIT 	 MISS
391316 	 MISS 	 HIT 	 MISS
391317 	 HIT 	 MISS 	 MISS
391318 	 MISS 	 HIT 	 MISS
391319 	 MISS 	 HIT 	 MISS
391320 	 MISS 	 HIT 	 HIT
391321 	 MISS 	 HIT 	 HIT
391322 	 MISS 	 HIT 	 MISS
391323 	 MISS 	 HIT 	 MISS
391324 	 HIT 	 MISS 	 MISS
391325 	 MISS 	 HIT 	 HIT
391326 	 MISS 	 HIT 	 MISS
391327 	 MISS 	 HIT 	 HIT
391328 	 MISS 	 MISS 	 HIT
391329 	 MISS 	 HIT 	 MISS
391330 	 MISS 	 HIT 	 MISS
391331 	 HIT 	 HIT 	 MISS
391332 	 HIT 	 HIT 	 HIT
391333 	 MISS 	 HIT 	 MISS
391334 	 MISS 	 HIT 	 MISS
391335 	 MISS 	 HIT 	 HIT
391336 	 HIT 	 MISS 	 MISS
391337 	 MISS 	 HIT 	 MISS
391338 	 MISS 	 HIT 	 MISS
391339 	 HIT 	 HIT 	 MISS
391340 	 HIT 	 HIT 	 MISS
391341 	 MISS 	 HIT 	 MISS
391342 	 MISS 	 HIT 	 HIT
391343 	 MISS 	 MISS 	 MISS
391344 	 MISS 	 HIT 	 MISS
391345 	 MISS 	 HIT 	 MISS
391346 	 MISS 	 HIT 	 MISS
391347 	 HIT 	 HIT 	 MISS
391348 	 MISS 	 HIT 	 MISS
391349 	 MISS 	 HIT 	 MISS
391350 	 MISS 	 HIT 	 HIT
391351 	 MISS 	 HIT 	 HIT
391352 	 MISS 	 HIT 	 MISS
391353 	 MISS 	 HIT 	 MISS
391354 	 HIT 	 MISS 	 MISS
391355 	 MISS 	 HIT 	 MISS
391356 	 MISS 	 HIT 	 HIT
391357 	 MISS 	 MISS 	 MISS
391358 	 MISS 	 HIT 	 HIT
391359 	 MISS 	 HIT 	 MISS
391360 	 MISS 	 HIT 	 MISS
391361 	 HIT 	 MISS 	 MISS
391362 	 MISS 	 HIT 	 MISS
391363 	 MISS 	 HIT 	 HIT
391364 	 MISS 	 HIT 	 HIT
391365 	 MISS 	 HIT 	 HIT
391366 	 MISS 	 HIT 	 MISS
391367 	 MISS 	 HIT 	 MISS
391368 	 HIT 	 MISS 	 MISS
391369 	 MISS 	 HIT 	 MISS
391370 	 MISS 	 HIT 	 MISS
391371 	 MISS 	 HIT 	 MISS
391372 	 HIT 	 HIT 	 MISS
391373 	 MISS 	 HIT 	 MISS
391374 	 MISS 	 HIT 	 MISS
391375 	 HIT 	 HIT 	 MISS
391376 	 MISS 	 HIT 	 MISS
391377 	 MISS 	 HIT 	 MISS
391378 	 MISS 	 HIT 	 MISS
391379 	 MISS 	 HIT 	 HIT
391380 	 MISS 	 HIT 	 HIT
391381 	 MISS 	 HIT 	 MISS
391382 	 MISS 	 HIT 	 MISS
391383 	 HIT 	 HIT 	 MISS
391384 	 MISS 	 HIT 	 MISS
391385 	 MISS 	 HIT 	 MISS
391386 	 HIT 	 HIT 	 HIT
391387 	 HIT 	 HIT 	 MISS
391388 	 MISS 	 HIT 	 MISS
391389 	 MISS 	 HIT 	 MISS
391390 	 MISS 	 MISS 	 MISS
391391 	 MISS 	 HIT 	 MISS
391392 	 MISS 	 HIT 	 MISS
391393 	 MISS 	 HIT 	 MISS
391394 	 HIT 	 HIT 	 MISS
391395 	 MISS 	 HIT 	 MISS
391396 	 MISS 	 HIT 	 MISS
391397 	 MISS 	 HIT 	 MISS
391398 	 MISS 	 HIT 	 HIT
391399 	 MISS 	 HIT 	 MISS
391400 	 MISS 	 HIT 	 MISS
391401 	 HIT 	 HIT 	 MISS
391402 	 MISS 	 HIT 	 MISS
391403 	 MISS 	 HIT 	 MISS
391404 	 HIT 	 HIT 	 HIT
391405 	 HIT 	 HIT 	 MISS
391406 	 MISS 	 HIT 	 MISS
391407 	 MISS 	 HIT 	 MISS
391408 	 HIT 	 HIT 	 HIT
391409 	 HIT 	 HIT 	 MISS
391410 	 MISS 	 HIT 	 MISS
391411 	 MISS 	 HIT 	 MISS
391412 	 MISS 	 HIT 	 HIT
391413 	 MISS 	 HIT 	 HIT
391414 	 MISS 	 HIT 	 MISS
391415 	 MISS 	 HIT 	 MISS
391416 	 HIT 	 MISS 	 MISS
391417 	 MISS 	 HIT 	 MISS
391418 	 MISS 	 HIT 	 MISS
391419 	 MISS 	 HIT 	 HIT
391420 	 MISS 	 HIT 	 HIT
391421 	 MISS 	 HIT 	 MISS
391422 	 MISS 	 HIT 	 MISS
391423 	 HIT 	 HIT 	 MISS
391424 	 MISS 	 HIT 	 MISS
391425 	 MISS 	 HIT 	 MISS
391426 	 MISS 	 HIT 	 HIT
391427 	 HIT 	 HIT 	 MISS
391428 	 MISS 	 HIT 	 MISS
391429 	 MISS 	 HIT 	 MISS
391430 	 MISS 	 HIT 	 MISS
391431 	 MISS 	 HIT 	 HIT
391432 	 MISS 	 HIT 	 MISS
391433 	 MISS 	 HIT 	 MISS
391434 	 HIT 	 HIT 	 MISS
391435 	 MISS 	 HIT 	 MISS
391436 	 MISS 	 HIT 	 MISS
391437 	 HIT 	 MISS 	 MISS
391438 	 MISS 	 HIT 	 MISS
391439 	 MISS 	 HIT 	 MISS
391440 	 HIT 	 HIT 	 HIT
391441 	 HIT 	 HIT 	 MISS
391442 	 MISS 	 HIT 	 HIT
391443 	 MISS 	 HIT 	 MISS
391444 	 MISS 	 HIT 	 HIT
391445 	 MISS 	 MISS 	 HIT
391446 	 MISS 	 HIT 	 MISS
391447 	 MISS 	 HIT 	 MISS
391448 	 MISS 	 HIT 	 MISS
391449 	 HIT 	 HIT 	 MISS
391450 	 MISS 	 HIT 	 MISS
391451 	 MISS 	 HIT 	 MISS
391452 	 MISS 	 HIT 	 HIT
391453 	 MISS 	 HIT 	 MISS
391454 	 MISS 	 HIT 	 MISS
391455 	 MISS 	 HIT 	 MISS
391456 	 HIT 	 MISS 	 MISS
391457 	 MISS 	 HIT 	 MISS
391458 	 MISS 	 HIT 	 MISS
391459 	 MISS 	 HIT 	 HIT
391460 	 MISS 	 HIT 	 HIT
391461 	 MISS 	 HIT 	 MISS
391462 	 MISS 	 HIT 	 MISS
391463 	 HIT 	 MISS 	 MISS
391464 	 MISS 	 HIT 	 HIT
391465 	 MISS 	 HIT 	 MISS
391466 	 MISS 	 HIT 	 HIT
391467 	 HIT 	 HIT 	 MISS
391468 	 MISS 	 HIT 	 MISS
391469 	 MISS 	 HIT 	 MISS
391470 	 MISS 	 HIT 	 HIT
391471 	 MISS 	 HIT 	 HIT
391472 	 MISS 	 HIT 	 MISS
391473 	 MISS 	 HIT 	 MISS
391474 	 HIT 	 MISS 	 MISS
391475 	 MISS 	 HIT 	 HIT
391476 	 MISS 	 HIT 	 MISS
391477 	 MISS 	 HIT 	 HIT
391478 	 MISS 	 HIT 	 HIT
391479 	 MISS 	 HIT 	 MISS
391480 	 MISS 	 HIT 	 MISS
391481 	 HIT 	 HIT 	 MISS
391482 	 HIT 	 HIT 	 HIT
391483 	 MISS 	 HIT 	 MISS
391484 	 MISS 	 HIT 	 HIT
391485 	 HIT 	 MISS 	 MISS
391486 	 MISS 	 HIT 	 MISS
391487 	 MISS 	 HIT 	 MISS
391488 	 MISS 	 HIT 	 HIT
391489 	 MISS 	 HIT 	 HIT
391490 	 MISS 	 HIT 	 MISS
391491 	 MISS 	 HIT 	 MISS
391492 	 HIT 	 HIT 	 MISS
391493 	 MISS 	 HIT 	 HIT
391494 	 MISS 	 HIT 	 MISS
391495 	 MISS 	 HIT 	 HIT
391496 	 MISS 	 MISS 	 HIT
391497 	 MISS 	 HIT 	 MISS
391498 	 MISS 	 HIT 	 MISS
391499 	 MISS 	 HIT 	 MISS
391500 	 HIT 	 HIT 	 MISS
391501 	 MISS 	 HIT 	 MISS
391502 	 MISS 	 HIT 	 MISS
391503 	 MISS 	 HIT 	 MISS
391504 	 MISS 	 HIT 	 HIT
391505 	 MISS 	 HIT 	 MISS
391506 	 MISS 	 HIT 	 MISS
391507 	 HIT 	 HIT 	 MISS
391508 	 MISS 	 HIT 	 MISS
391509 	 MISS 	 HIT 	 HIT
391510 	 MISS 	 HIT 	 HIT
391511 	 HIT 	 HIT 	 MISS
391512 	 MISS 	 HIT 	 MISS
391513 	 MISS 	 HIT 	 MISS
391514 	 MISS 	 HIT 	 HIT
391515 	 MISS 	 HIT 	 HIT
391516 	 MISS 	 HIT 	 MISS
391517 	 MISS 	 HIT 	 MISS
391518 	 HIT 	 MISS 	 MISS
391519 	 MISS 	 HIT 	 HIT
391520 	 MISS 	 HIT 	 MISS
391521 	 MISS 	 HIT 	 HIT
391522 	 MISS 	 HIT 	 HIT
391523 	 MISS 	 HIT 	 MISS
391524 	 MISS 	 HIT 	 MISS
391525 	 HIT 	 MISS 	 MISS
391526 	 MISS 	 HIT 	 MISS
391527 	 MISS 	 HIT 	 MISS
391528 	 MISS 	 HIT 	 HIT
391529 	 MISS 	 HIT 	 HIT
391530 	 MISS 	 HIT 	 MISS
391531 	 MISS 	 HIT 	 MISS
391532 	 HIT 	 MISS 	 MISS
391533 	 MISS 	 HIT 	 HIT
391534 	 MISS 	 HIT 	 MISS
391535 	 MISS 	 HIT 	 HIT
391536 	 MISS 	 HIT 	 HIT
391537 	 MISS 	 HIT 	 MISS
391538 	 MISS 	 HIT 	 MISS
391539 	 HIT 	 HIT 	 MISS
391540 	 HIT 	 HIT 	 MISS
391541 	 MISS 	 HIT 	 HIT
391542 	 MISS 	 HIT 	 MISS
391543 	 MISS 	 HIT 	 MISS
391544 	 MISS 	 HIT 	 HIT
391545 	 MISS 	 HIT 	 MISS
