391040 	 76 	 76 	 276
391041 	 268 	 76 	 272
391042 	 266 	 78 	 268
391043 	 264 	 76 	 80
391044 	 242 	 78 	 82
391045 	 264 	 80 	 272
391046 	 270 	 76 	 268
391047 	 72 	 76 	 272
391048 	 74 	 76 	 78
391049 	 262 	 78 	 276
391050 	 262 	 78 	 274
391051 	 262 	 78 	 272
391052 	 268 	 76 	 82
391053 	 268 	 78 	 272
391054 	 268 	 76 	 250
391055 	 74 	 78 	 272
391056 	 264 	 80 	 272
391057 	 264 	 80 	 274
391058 	 264 	 78 	 82
391059 	 266 	 78 	 78
391060 	 266 	 76 	 270
391061 	 266 	 74 	 268
391062 	 212 	 78 	 272
391063 	 78 	 78 	 276
391064 	 266 	 78 	 84
391065 	 266 	 78 	 268
391066 	 268 	 78 	 78
391067 	 266 	 78 	 84
391068 	 266 	 76 	 274
391069 	 270 	 80 	 276
391070 	 80 	 466 	 254
391071 	 266 	 76 	 270
391072 	 266 	 80 	 270
391073 	 270 	 78 	 82
391074 	 76 	 144 	 252
391075 	 268 	 78 	 270
391076 	 268 	 78 	 84
391077 	 266 	 78 	 82
391078 	 268 	 78 	 82
391079 	 264 	 80 	 274
391080 	 266 	 78 	 270
391081 	 76 	 270 	 248
391082 	 76 	 74 	 82
391083 	 268 	 80 	 270
391084 	 264 	 74 	 84
391085 	 78 	 268 	 252
391086 	 270 	 76 	 78
391087 	 268 	 78 	 274
391088 	 264 	 78 	 80
391089 	 242 	 80 	 80
391090 	 270 	 76 	 274
391091 	 1452 	 74 	 250
391092 	 80 	 264 	 246
391093 	 268 	 76 	 82
391094 	 264 	 78 	 268
391095 	 242 	 74 	 80
391096 	 76 	 76 	 270
391097 	 262 	 74 	 284
391098 	 268 	 76 	 270
391099 	 266 	 246 	 248
391100 	 266 	 80 	 272
391101 	 266 	 76 	 274
391102 	 540 	 80 	 272
391103 	 72 	 266 	 250
391104 	 276 	 86 	 250
391105 	 242 	 334 	 250
391106 	 268 	 242 	 254
391107 	 270 	 80 	 272
391108 	 246 	 78 	 276
391109 	 262 	 116 	 254
391110 	 264 	 74 	 274
391111 	 244 	 76 	 84
391112 	 264 	 266 	 82
391113 	 268 	 78 	 274
391114 	 266 	 76 	 272
391115 	 264 	 74 	 274
391116 	 74 	 76 	 280
391117 	 266 	 74 	 274
391118 	 1378 	 80 	 80
391119 	 76 	 268 	 250
391120 	 74 	 74 	 268
391121 	 262 	 78 	 270
391122 	 240 	 74 	 80
391123 	 74 	 166 	 248
391124 	 266 	 78 	 270
391125 	 268 	 78 	 272
391126 	 264 	 78 	 80
391127 	 268 	 80 	 80
391128 	 266 	 78 	 274
391129 	 498 	 76 	 270
391130 	 78 	 262 	 250
391131 	 268 	 78 	 276
391132 	 262 	 80 	 268
391133 	 272 	 76 	 82
391134 	 242 	 76 	 78
391135 	 266 	 78 	 268
391136 	 266 	 76 	 248
391137 	 76 	 250 	 250
391138 	 246 	 76 	 270
391139 	 250 	 76 	 1450
391140 	 246 	 80 	 84
391141 	 78 	 266 	 248
391142 	 266 	 80 	 274
391143 	 270 	 76 	 274
391144 	 234 	 76 	 270
391145 	 74 	 74 	 272
391146 	 270 	 80 	 282
391147 	 266 	 74 	 272
391148 	 74 	 76 	 272
391149 	 264 	 78 	 274
391150 	 1236 	 78 	 270
391151 	 264 	 76 	 272
391152 	 78 	 80 	 272
391153 	 266 	 80 	 274
391154 	 266 	 76 	 272
391155 	 268 	 78 	 274
391156 	 264 	 76 	 80
391157 	 266 	 78 	 272
391158 	 266 	 74 	 274
391159 	 78 	 76 	 252
391160 	 268 	 76 	 84
391161 	 392 	 78 	 276
391162 	 76 	 80 	 82
391163 	 74 	 76 	 270
391164 	 264 	 84 	 90
391165 	 88 	 84 	 78
391166 	 240 	 80 	 270
391167 	 260 	 74 	 272
391168 	 264 	 78 	 84
391169 	 252 	 78 	 82
391170 	 264 	 76 	 272
391171 	 272 	 76 	 272
391172 	 76 	 78 	 272
391173 	 76 	 78 	 274
391174 	 260 	 74 	 80
391175 	 1102 	 80 	 272
391176 	 80 	 266 	 250
391177 	 76 	 78 	 276
391178 	 268 	 76 	 272
391179 	 242 	 78 	 80
391180 	 266 	 206 	 80
391181 	 268 	 80 	 274
391182 	 268 	 76 	 274
391183 	 108 	 76 	 274
391184 	 78 	 78 	 272
391185 	 268 	 76 	 276
391186 	 268 	 74 	 80
391187 	 266 	 240 	 176
391188 	 266 	 76 	 272
391189 	 270 	 80 	 274
391190 	 214 	 76 	 276
391191 	 76 	 74 	 270
391192 	 268 	 76 	 270
391193 	 266 	 78 	 272
391194 	 78 	 80 	 276
391195 	 74 	 78 	 270
391196 	 264 	 74 	 1268
391197 	 268 	 76 	 276
391198 	 268 	 80 	 78
391199 	 248 	 76 	 80
391200 	 268 	 78 	 272
391201 	 266 	 76 	 272
391202 	 74 	 268 	 248
391203 	 266 	 76 	 86
391204 	 268 	 74 	 270
391205 	 266 	 82 	 80
391206 	 76 	 270 	 254
391207 	 1052 	 76 	 274
391208 	 264 	 76 	 270
391209 	 266 	 72 	 82
391210 	 246 	 76 	 84
391211 	 270 	 78 	 268
391212 	 270 	 76 	 274
391213 	 76 	 76 	 272
391214 	 262 	 74 	 80
391215 	 262 	 78 	 274
391216 	 242 	 80 	 80
391217 	 270 	 158 	 80
391218 	 456 	 76 	 270
391219 	 268 	 78 	 274
391220 	 232 	 76 	 272
391221 	 76 	 76 	 276
391222 	 266 	 76 	 278
391223 	 270 	 78 	 276
391224 	 264 	 76 	 272
391225 	 268 	 78 	 78
391226 	 262 	 76 	 274
391227 	 266 	 80 	 270
391228 	 78 	 76 	 1230
391229 	 268 	 80 	 274
391230 	 272 	 78 	 80
391231 	 268 	 78 	 250
391232 	 80 	 78 	 272
391233 	 266 	 78 	 274
391234 	 268 	 82 	 274
391235 	 80 	 74 	 250
391236 	 74 	 76 	 278
391237 	 266 	 74 	 274
391238 	 268 	 80 	 274
391239 	 78 	 710 	 252
391240 	 266 	 74 	 82
391241 	 268 	 78 	 272
391242 	 268 	 76 	 268
391243 	 72 	 162 	 250
391244 	 270 	 80 	 272
391245 	 268 	 76 	 274
391246 	 268 	 78 	 80
391247 	 270 	 76 	 80
391248 	 268 	 78 	 268
391249 	 264 	 76 	 274
