287986 	 MISS 	 MISS 	 MISS
287987 	 MISS 	 MISS 	 MISS
287988 	 MISS 	 MISS 	 MISS
287989 	 MISS 	 MISS 	 MISS
287990 	 MISS 	 MISS 	 MISS
287991 	 MISS 	 MISS 	 MISS
287992 	 MISS 	 MISS 	 MISS
287993 	 MISS 	 MISS 	 MISS
287994 	 MISS 	 MISS 	 MISS
287995 	 MISS 	 MISS 	 MISS
287996 	 MISS 	 MISS 	 MISS
287997 	 MISS 	 MISS 	 MISS
287998 	 MISS 	 MISS 	 MISS
287999 	 MISS 	 MISS 	 MISS
288000 	 MISS 	 MISS 	 MISS
288001 	 MISS 	 MISS 	 MISS
288002 	 MISS 	 MISS 	 MISS
288003 	 MISS 	 MISS 	 MISS
288004 	 MISS 	 MISS 	 MISS
288005 	 MISS 	 MISS 	 MISS
288006 	 MISS 	 MISS 	 MISS
288007 	 MISS 	 MISS 	 MISS
288008 	 MISS 	 MISS 	 MISS
288009 	 HIT 	 MISS 	 MISS
288010 	 HIT 	 HIT 	 MISS
288011 	 MISS 	 HIT 	 MISS
288012 	 MISS 	 HIT 	 MISS
288013 	 MISS 	 MISS 	 HIT
288014 	 MISS 	 HIT 	 MISS
288015 	 MISS 	 HIT 	 MISS
288016 	 MISS 	 HIT 	 MISS
288017 	 MISS 	 HIT 	 MISS
288018 	 MISS 	 MISS 	 MISS
288019 	 MISS 	 MISS 	 MISS
288020 	 MISS 	 MISS 	 MISS
288021 	 MISS 	 MISS 	 MISS
288022 	 MISS 	 MISS 	 MISS
288023 	 MISS 	 MISS 	 MISS
288024 	 MISS 	 MISS 	 MISS
288025 	 MISS 	 MISS 	 MISS
288026 	 MISS 	 MISS 	 MISS
288027 	 MISS 	 MISS 	 MISS
288028 	 MISS 	 MISS 	 MISS
288029 	 MISS 	 MISS 	 MISS
288030 	 MISS 	 MISS 	 MISS
288031 	 MISS 	 MISS 	 MISS
288032 	 MISS 	 MISS 	 MISS
288033 	 MISS 	 MISS 	 MISS
288034 	 MISS 	 MISS 	 MISS
288035 	 MISS 	 MISS 	 MISS
288036 	 MISS 	 MISS 	 MISS
288037 	 MISS 	 MISS 	 MISS
288038 	 MISS 	 MISS 	 MISS
288039 	 MISS 	 MISS 	 MISS
288040 	 MISS 	 MISS 	 MISS
288041 	 MISS 	 MISS 	 MISS
288042 	 MISS 	 MISS 	 MISS
288043 	 MISS 	 MISS 	 MISS
288044 	 MISS 	 MISS 	 MISS
288045 	 MISS 	 MISS 	 MISS
288046 	 MISS 	 MISS 	 MISS
288047 	 MISS 	 MISS 	 MISS
288048 	 MISS 	 MISS 	 MISS
288049 	 MISS 	 MISS 	 MISS
288050 	 MISS 	 MISS 	 MISS
288051 	 MISS 	 MISS 	 MISS
288052 	 MISS 	 MISS 	 MISS
288053 	 MISS 	 MISS 	 MISS
288054 	 MISS 	 MISS 	 MISS
288055 	 MISS 	 MISS 	 MISS
288056 	 MISS 	 MISS 	 MISS
288057 	 MISS 	 MISS 	 MISS
288058 	 MISS 	 MISS 	 MISS
288059 	 MISS 	 MISS 	 MISS
288060 	 MISS 	 MISS 	 MISS
288061 	 MISS 	 MISS 	 MISS
288062 	 MISS 	 MISS 	 MISS
288063 	 MISS 	 MISS 	 MISS
288064 	 MISS 	 MISS 	 MISS
288065 	 MISS 	 MISS 	 MISS
288066 	 MISS 	 MISS 	 MISS
288067 	 MISS 	 MISS 	 MISS
288068 	 MISS 	 MISS 	 MISS
288069 	 MISS 	 MISS 	 MISS
288070 	 MISS 	 MISS 	 MISS
288071 	 MISS 	 MISS 	 MISS
288072 	 MISS 	 MISS 	 MISS
288073 	 MISS 	 MISS 	 MISS
288074 	 MISS 	 MISS 	 MISS
288075 	 MISS 	 MISS 	 MISS
288076 	 MISS 	 MISS 	 MISS
288077 	 MISS 	 MISS 	 MISS
288078 	 MISS 	 MISS 	 MISS
288079 	 MISS 	 MISS 	 MISS
288080 	 MISS 	 MISS 	 MISS
288081 	 MISS 	 MISS 	 MISS
288082 	 MISS 	 MISS 	 MISS
288083 	 MISS 	 MISS 	 MISS
288084 	 MISS 	 MISS 	 MISS
288085 	 MISS 	 MISS 	 MISS
288086 	 MISS 	 MISS 	 MISS
288087 	 MISS 	 MISS 	 MISS
288088 	 MISS 	 MISS 	 MISS
288089 	 MISS 	 MISS 	 MISS
288090 	 MISS 	 MISS 	 MISS
288091 	 MISS 	 MISS 	 MISS
288092 	 MISS 	 MISS 	 MISS
288093 	 HIT 	 HIT 	 MISS
288094 	 MISS 	 HIT 	 MISS
288095 	 MISS 	 HIT 	 MISS
288096 	 MISS 	 MISS 	 MISS
288097 	 MISS 	 MISS 	 MISS
288098 	 MISS 	 MISS 	 MISS
288099 	 MISS 	 MISS 	 MISS
288100 	 MISS 	 MISS 	 MISS
288101 	 MISS 	 MISS 	 MISS
288102 	 MISS 	 MISS 	 MISS
288103 	 MISS 	 MISS 	 MISS
288104 	 MISS 	 MISS 	 MISS
288105 	 MISS 	 MISS 	 MISS
288106 	 MISS 	 MISS 	 MISS
288107 	 MISS 	 MISS 	 MISS
288108 	 MISS 	 MISS 	 MISS
288109 	 MISS 	 MISS 	 MISS
288110 	 MISS 	 MISS 	 MISS
288111 	 MISS 	 MISS 	 MISS
288112 	 MISS 	 MISS 	 MISS
288113 	 MISS 	 MISS 	 MISS
288114 	 MISS 	 MISS 	 MISS
288115 	 MISS 	 MISS 	 MISS
288116 	 MISS 	 MISS 	 MISS
288117 	 MISS 	 MISS 	 MISS
288118 	 MISS 	 MISS 	 MISS
288119 	 MISS 	 MISS 	 MISS
288120 	 MISS 	 MISS 	 MISS
288121 	 MISS 	 MISS 	 MISS
288122 	 MISS 	 MISS 	 MISS
