slot 	 sqr 	 mod 	 mul
288246 	 266 	 242 	 246
288247 	 262 	 242 	 248
288248 	 264 	 244 	 248
288249 	 74 	 262 	 244
288250 	 264 	 76 	 272
288251 	 260 	 74 	 274
288252 	 262 	 74 	 274
288253 	 262 	 238 	 246
288254 	 266 	 242 	 248
288255 	 266 	 240 	 246
288256 	 268 	 240 	 244
288257 	 266 	 244 	 246
288258 	 266 	 240 	 248
288259 	 264 	 242 	 244
288260 	 260 	 242 	 244
288261 	 262 	 238 	 248
288262 	 266 	 242 	 244
288263 	 266 	 244 	 246
288264 	 266 	 244 	 244
288265 	 260 	 242 	 250
288266 	 268 	 1416 	 246
288267 	 240 	 246 	 246
288268 	 262 	 240 	 250
288269 	 264 	 244 	 248
288270 	 266 	 240 	 250
288271 	 264 	 242 	 248
288272 	 266 	 240 	 246
288273 	 266 	 240 	 248
288274 	 266 	 244 	 248
288275 	 262 	 240 	 246
288276 	 262 	 240 	 248
288277 	 868 	 244 	 246
288278 	 266 	 240 	 246
288279 	 262 	 238 	 244
288280 	 262 	 242 	 246
288281 	 262 	 240 	 246
288282 	 264 	 246 	 246
288283 	 262 	 240 	 246
288284 	 264 	 238 	 248
288285 	 260 	 244 	 246
288286 	 268 	 240 	 244
288287 	 266 	 244 	 246
288288 	 262 	 242 	 246
288289 	 266 	 242 	 248
288290 	 264 	 242 	 246
288291 	 264 	 244 	 246
288292 	 260 	 242 	 246
288293 	 264 	 244 	 246
288294 	 268 	 242 	 248
288295 	 260 	 238 	 250
288296 	 266 	 244 	 248
288297 	 268 	 240 	 244
288298 	 262 	 1406 	 244
288299 	 264 	 246 	 248
288300 	 256 	 240 	 246
288301 	 264 	 240 	 244
288302 	 266 	 242 	 248
288303 	 264 	 246 	 248
288304 	 258 	 244 	 248
288305 	 262 	 240 	 248
288306 	 266 	 240 	 246
288307 	 264 	 244 	 246
288308 	 262 	 240 	 246
288309 	 724 	 242 	 244
288310 	 264 	 242 	 248
288311 	 262 	 240 	 248
288312 	 262 	 242 	 246
288313 	 266 	 238 	 250
288314 	 268 	 242 	 246
288315 	 262 	 244 	 246
288316 	 264 	 244 	 246
288317 	 258 	 244 	 248
288318 	 266 	 238 	 246
288319 	 266 	 240 	 248
288320 	 260 	 242 	 248
288321 	 260 	 242 	 244
288322 	 264 	 244 	 246
288323 	 260 	 240 	 246
288324 	 264 	 240 	 248
288325 	 242 	 242 	 248
288326 	 264 	 240 	 246
288327 	 72 	 260 	 248
288328 	 268 	 76 	 266
288329 	 262 	 80 	 272
288330 	 266 	 76 	 1148
288331 	 238 	 74 	 78
288332 	 262 	 76 	 270
288333 	 264 	 76 	 268
288334 	 244 	 240 	 248
288335 	 264 	 242 	 248
288336 	 264 	 242 	 246
288337 	 260 	 240 	 244
288338 	 266 	 240 	 248
288339 	 262 	 242 	 250
288340 	 262 	 240 	 246
288341 	 594 	 240 	 248
288342 	 264 	 238 	 248
288343 	 264 	 242 	 242
288344 	 266 	 240 	 246
288345 	 264 	 242 	 248
288346 	 266 	 248 	 248
288347 	 262 	 242 	 250
288348 	 264 	 244 	 246
288349 	 264 	 240 	 246
288350 	 264 	 244 	 242
288351 	 264 	 242 	 1422
288352 	 262 	 246 	 248
288353 	 268 	 244 	 244
288354 	 266 	 244 	 246
288355 	 266 	 242 	 248
288356 	 266 	 242 	 250
288357 	 268 	 238 	 248
288358 	 264 	 242 	 244
